city,latitude,longitude
Specify city, 0, 0
Ambon,-3.654703,128.190643
Amuntai,-2.423779,115.250832
Balaraja,-6.199264,106.469193
Balikpapan,-1.265386,116.8312
Balikpapan,-1.26916,116.825264
Banda Aceh,5.54829,95.323753
Bandar Lampung,-5.45,105.26667
Bandung,-6.914864,107.608238
Bandung,-6.905977,107.613144
Bandung,-6.914744,107.60981
Banjar,-7.374585,108.558189
Banjar Baru City,-3.457242,114.810318
Banjarmasin,-3.316694,114.590111
Banjarsari,-7.550676,110.828316
Batam,1.082828,104.030457
Batam,1.045626,104.030457
Batu,-7.8671,112.523903
Bekasi,-6.241586,106.992416
Binjai,3.598401,98.489166
BireuÃ«n,5.20139,96.702644
Bogor,-6.595038,106.816635
Bontang,0.133333,117.5
Cianjur,-6.820762,107.14296
Cibinong,-6.497641,106.828224
Cibodas,-6.734679,107.041252
Cibubur,-6.373519,106.875984
Cileunyi,-6.939008,107.740753
Cirebon,-6.737246,108.550659
Denpasar,-8.65,115.216667
Depok,-6.385589,106.830711
Dumai,1.694394,101.445007
Garut,-7.227906,107.908699
Gorontalo City,0.556174,123.058548
Indramayu,-6.327583,108.324936
Jakarta,-6.2,106.816666
Jambi City,-1.609972,103.607254
Jember,-8.184486,113.668076
Jepara City,-6.574958,110.670525
Jombang,-7.546839,112.226479
Kanigoro,-8.121262,112.205429
Kediri,-7.82284,112.011864
Kendari City,-3.972201,122.5149
Kupang City,-10.178757,123.597603
Lawang,-7.830759,112.697098
Lhoksukon,5.051701,97.318123
Makasar,-6.271194,106.894547
Makassar City,-5.135399,119.42379
Malang,-7.983908,112.621391
Manado City,1.47483,124.842079
Manokwari,-0.861453,134.062042
Martapura,-3.409927,114.847298
Maumere,-8.625253,122.221458
Medan,3.597031,98.678513
Palembang,-2.990934,104.756554
Palopo,-2.994494,120.195465
Pamekasan,-7.161367,113.482498
Pamulang,-6.347891,106.741158
Pangkal Pinang,-2.133333,106.116669
Pariaman,-0.626439,100.117958
Pekalongan,-6.888701,109.668289
Pekanbaru,0.51044,101.438309
Pekanbaru,0.533505,101.447403
Pematang Siantar City,2.970042,99.068169
Ponorogo,-7.866688,111.466614
Pontianak City,0.0,109.333336
Praya,-8.72174,116.288597
Probolinggo,-7.756928,113.211502
Purwakarta,-6.538681,107.449944
Purwokerto,-7.431391,109.247833
Rancasari,-6.953946,107.677765
Samarinda,-0.502106,117.153709
Sampit,-2.539465,112.958687
Selong,-8.646535,116.530434
Semarang,-6.966667,110.416664
Serang,-6.12,106.150276
Sibolga,1.749987,98.776703
Soreang,-7.025253,107.51976
Stabat,3.750531,98.470528
Subang,-6.571589,107.758736
Sukabumi,-6.9237,106.928726
Surabaya,-7.250445,112.768845
Tangerang,-6.178306,106.631889
Tasikmalaya,-7.319563,108.202972
Tegal City,-6.879704,109.125595
Trenggalek,-8.08641,111.713127
Yogyakarta,-7.797068,110.370529
Yogyakarta City,-7.797068,110.370529
